PERMIT TYPE,PERMIT #,PROJECT NAME,WORK TYPE,ADDRESS,LOCATION,X_COORD,Y_COORD,DATE SUBMITTED,DATE ISSUED,DECLARED VALUATION,AREA (SF),PRIMARY CONTACT,CD,NCD,HD
Demolition Permit,DEM-DEM-PMT23-39200549,618 ELMIRA ST,,"618 W ELMIRA ST, City of San Antonio, TX 78212",,2127783.7,13705499.5,2022-11-04,2023-01-01,,2000,"HAULBROOKE, INC.",1,,
Demolition Permit,DEM-DEM-PMT23-39200552,630 ELMIRA ST,,"630 W ELMIRA ST, City of San Antonio, TX 78212",,2127652.6,13705429.9,2022-11-04,2023-01-01,,2000,"HAULBROOKE, INC.",1,,
Plumbing Irrigation Permit,MEP-IRR-PMT23-34400003,Irrigation,,"25315 FAIRWAY SPRINGS, City of San Antonio ETJ, TX 78260",,2130723.2,13792095.1,2023-01-01,2023-01-01,,,"ANTONIO C GODINEZ, AJ IRRIGATION",0,,
Mechanical Permit,MEP-MEC-PMT23-33900005,Complete HVAC System with Ducts,,"1721 PEREZ, City of San Antonio, TX 78207",,2120503.2,13705712,2023-01-01,2023-01-01,,,"DIEGO D VALENZUELA, VALENZUELA'S APPLIANCE REPAIR",1,,
Plumbing General Permit,MEP-PLM-PMT23-34300004,J. Rod general plumbing,,"111 WAYFARER PLACE, City of San Antonio, TX 78242",,2091111.1,13683022.9,2023-01-01,2023-01-01,,,"RICHARD PALACIOS, RMP PLUMBING SERVICE",4,,
Electrical TML Permit,MEP-TML-PMT23-44000001,Praise Electric Co,,"11 ORSINGER CAPE, City of San Antonio, TX 78230",,2107467,13749725.8,2023-01-01,2023-01-01,,,PRAISE ELECTRIC COMPANY,8,,
Garage Sale,BLDG-GS-PMT-13806688,8615 DUDLEY DR,,"8615 DUDLEY DR, City of San Antonio, TX 78230",,2115950.2,13736665.1,2023-01-02,2023-01-02,,,Bruce Duncan,1,,
Garage Sale,BLDG-GS-PMT-13806689,926 BRIGHTON AVE,,"926 BRIGHTON AVE, City of San Antonio, TX 78211",,2122022.1,13684263.2,2023-01-02,2023-01-02,,,Krystalanne Gomez,5,,
Garage Sale,BLDG-GS-PMT-13806690,3418 SHALLOW GROVE,,"3418 SHALLOW GROVE, City of San Antonio, TX 78247",,2149051.1,13758988.7,2023-01-02,2023-01-02,,,Taylor Welch,10,,
Comm New Building Permit,COM-BLG-PMT22-40201168,Building No: 4; Unit No: N/A,New,"6626 W 1604 N, City of San Antonio, TX 78250",,2063663.3,13729614.6,2022-09-26,2023-01-02,2200000,12634,"amanda flores, PDI",6,,
Electrical General Permit,COM-BLG-PMT22-40201168,Building No: 4; Unit No: N/A,New,"6626 W 1604 N, City of San Antonio, TX 78250",,2063663.3,13729614.6,2022-09-26,2023-01-02,,,"amanda flores, PDI",6,,
Electrical TOPS Permit,COM-BLG-PMT22-40201168,Building No: 4; Unit No: N/A,New,"6626 W 1604 N, City of San Antonio, TX 78250",,2063663.3,13729614.6,2022-09-26,2023-01-02,,,"amanda flores, PDI",6,,
Mechanical Permit,COM-BLG-PMT22-40201168,Building No: 4; Unit No: N/A,New,"6626 W 1604 N, City of San Antonio, TX 78250",,2063663.3,13729614.6,2022-09-26,2023-01-02,,,"amanda flores, PDI",6,,
Plumbing General Permit,COM-BLG-PMT22-40201168,Building No: 4; Unit No: N/A,New,"6626 W 1604 N, City of San Antonio, TX 78250",,2063663.3,13729614.6,2022-09-26,2023-01-02,,,"amanda flores, PDI",6,,
Comm New Building Permit,COM-BLG-PMT22-40201212,Withdrawn - See new Record,New,"6515 W COMMERCE ST, City of San Antonio, TX 78227",,2098871.9,13706236.4,2021-09-20,2023-01-02,46000,144,"Enertech Resources, LLc",7,,
Electrical General Permit,COM-BLG-PMT22-40201212,Withdrawn - See new Record,New,"6515 W COMMERCE ST, City of San Antonio, TX 78227",,2098871.9,13706236.4,2021-09-20,2023-01-02,,,"Enertech Resources, LLc",7,,
Comm Ice-Teller Machine Permit,COM-ITM-PMT23-40800001,Minor Structures The Place at Castle Hills - Capital Improvement,New,"11800 BRAESVIEW, City of San Antonio, TX 78213",,2119536.2,13746595.5,2022-12-19,2023-01-02,13000,,Unified Disaster Resources,9,,
Comm Remodel Permit,COM-RML-PMT23-40000002,Building No: 4236 Thousand Oaks; Unit No: 102,Existing,"4236 THOUSAND OAKS, City of San Antonio, TX 78217",,2155816.3,13748745.3,2022-12-06,2023-01-02,,,ROBERT George GUAJARDO,10,,
Electrical General Permit,COM-RML-PMT23-40000002,Building No: 4236 Thousand Oaks; Unit No: 102,Existing,"4236 THOUSAND OAKS, City of San Antonio, TX 78217",,2155816.3,13748745.3,2022-12-06,2023-01-02,,,ROBERT George GUAJARDO,10,,
Comm Sitework Permit,COM-SIT-PMT22-40100555,Withdrawn - See new Record,New,"6515 W COMMERCE ST, City of San Antonio, TX 78227",,2098871.9,13706236.4,2021-09-20,2023-01-02,46000,144,"Enertech Resources, LLc",7,,
